Number of trabsactions: 952
1982-01-07 sell-high HD 3615718
1982-02-18 buy-open HD 26778
1982-02-18 sell-high HD 26778
1982-02-24 buy-open HD 321392
1982-02-24 sell-high HD 321392
1982-05-20 buy-open NAV 779600
1982-05-20 sell-high NAV 779600
1982-10-13 buy-low NAV 236580
1982-10-13 sell-close NAV 236580
1982-12-23 buy-low NAV 208000
1982-12-23 sell-close NAV 208000
1983-01-31 buy-low NAV 244017
1983-01-31 sell-close NAV 244017
1983-03-21 buy-low NAV 74400
1983-03-21 sell-close NAV 74400
1983-04-14 buy-low NAV 215164
1983-04-14 sell-close NAV 215164
1983-04-18 buy-open NAV 854600
1983-04-18 sell-high NAV 854600
1983-04-26 buy-low NAV 289226
1983-04-26 sell-close NAV 289226
1983-06-22 buy-low INTC 60823071
1983-06-22 sell-close INTC 60823071
1983-07-25 buy-open INTC 36990900
1983-07-25 sell-high INTC 36990900
1983-09-28 buy-low NAV 418487
1983-09-28 sell-close NAV 418487
1983-10-26 buy-open MAT 2150960
1983-10-26 sell-high MAT 2150960
1984-01-03 buy-low MAT 789573
1984-01-03 sell-close MAT 789573
1984-02-24 buy-open LUV 5038372
1984-02-24 sell-high LUV 5038372
1984-05-30 buy-open AEP 422450
1984-05-30 sell-high AEP 422450
1984-07-19 buy-low EXC 2412345
1984-07-19 sell-close EXC 2412345
1984-08-27 buy-open NAV 1513000
1984-08-27 sell-high NAV 1513000
1984-10-31 buy-open ATRO 8517
1984-10-31 sell-high ATRO 8517
1984-11-05 buy-low NAV 398700
1984-11-05 sell-close NAV 398700
1984-11-27 buy-open NAV 2231000
1984-11-27 sell-high NAV 2231000
1984-12-13 buy-low NAV 469900
1984-12-13 sell-close NAV 469900
1985-01-25 buy-low AMGN 4575618
1985-01-25 sell-close AMGN 4575618
1985-03-18 buy-open COP 5729428
1985-03-18 sell-high COP 5729428
1985-08-20 buy-low ETR 2751383
1985-08-20 sell-close ETR 2751383
1985-09-05 buy-open AVP 18974658
1985-09-05 sell-high AVP 18974658
1985-10-10 buy-open ETR 3426816
1985-10-10 sell-high ETR 3426816
1985-11-20 buy-low NI 6123700
1985-11-20 sell-close NI 6123700
1985-11-22 buy-open CPB 7803966
1985-11-22 sell-high CPB 7803966
1985-12-04 buy-open AMGN 7944242
1985-12-04 sell-high AMGN 7944242
1985-12-05 buy-open AMGN 19449125
1985-12-05 sell-high AMGN 19449125
1986-03-12 buy-low BEN 24528335
1986-03-12 sell-close BEN 24528335
1986-04-10 buy-open AMGN 16705949
1986-04-10 sell-high AMGN 16705949
1986-05-06 buy-low RDC 41346
1986-05-06 sell-close RDC 41346
1986-09-18 buy-open COST 263073
1986-09-18 sell-high COST 263073
1986-09-23 buy-open MAT 5086064
1986-09-23 sell-high MAT 5086064
1986-09-30 buy-open ROST 8078219
1986-09-30 sell-high ROST 8078219
1986-11-28 buy-low ROST 141308884
1986-11-28 sell-close ROST 141308884
1986-12-22 buy-open NAV 5460000
1986-12-22 sell-high NAV 5460000
1986-12-23 buy-low NAV 1350000
1986-12-23 sell-close NAV 1350000
1987-10-19 buy-open BC 1433447
1987-10-19 sell-high BC 1433447
1987-10-20 buy-low AEP 1257247
1987-10-20 sell-close AEP 1257247
1987-10-21 buy-open BEN 3968871
1987-10-21 sell-high BEN 3968871
1987-10-26 buy-open WEN 5128651
